x,J0_x,wall_time_s
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666574e-01,9.930676025839925147e-01,0.000000000000000000e+00
3.333333333333333148e-01,9.724145291150974035e-01,5.000114440917968750e-03
5.000000000000000000e-01,9.384698072408128589e-01,4.999876022338867188e-03
6.666666666666666297e-01,8.919374681327270071e-01,1.500010490417479948e-02
8.333333333333332593e-01,8.337802071282951477e-01,1.600003242492676128e-02
1.000000000000000000e+00,7.651977486913197346e-01,1.600003242492676128e-02
1.166666666666666519e+00,6.875979966608249949e-01,1.600003242492676128e-02
1.333333333333333259e+00,6.025661172536674881e-01,0.000000000000000000e+00
1.500000000000000000e+00,5.118274811904071075e-01,1.300001144409180034e-02
1.666666666666666519e+00,4.172088671961367012e-01,1.600003242492676128e-02
1.833333333333333259e+00,3.205954757596676252e-01,7.999897003173828125e-03
2.000000000000000000e+00,2.238907921092755937e-01,3.000020980834960938e-03
2.166666666666666519e+00,1.289709794094648088e-01,1.600003242492676128e-02
2.333333333333333037e+00,3.764561859388680654e-02,1.600003242492676128e-02
2.500000000000000000e+00,-4.838385566173634272e-02,2.399992942810058941e-02
2.666666666666666519e+00,-1.275609420890271017e-01,1.600003242492676128e-02
2.833333333333333037e+00,-1.985258778133101032e-01,1.399993896484375000e-02
3.000000000000000000e+00,-2.600517224363593782e-01,3.399991989135742188e-02
3.166666666666666519e+00,-3.112538872233875931e-01,1.500010490417479948e-02
3.333333333333333037e+00,-3.514226202309472247e-01,1.600003242492676128e-02
3.500000000000000000e+00,-3.801276044981963254e-01,1.600003242492676128e-02
3.666666666666666519e+00,-3.972053378108155175e-01,1.600003242492676128e-02
3.833333333333333037e+00,-4.027586855036818236e-01,0.000000000000000000e+00
4.000000000000000000e+00,-3.971497533762146093e-01,0.000000000000000000e+00
4.166666666666666075e+00,-3.809864437978507934e-01,1.500010490417479948e-02
4.333333333333333037e+00,-3.551043660856367246e-01,1.999998092651366841e-02
4.500000000000000000e+00,-3.205424425239313257e-01,1.799988746643066059e-02
4.666666666666666075e+00,-2.785148704640320050e-01,1.200008392333984028e-02
4.833333333333333037e+00,-2.303783539389696045e-01,0.000000000000000000e+00
5.000000000000000000e+00,-1.775968706010900011e-01,1.499986648559569966e-02
5.166666666666666075e+00,-1.217045402085780992e-01,2.800011634826660156e-02
5.333333333333333037e+00,-6.426634398128922010e-02,1.800012588500976909e-02
5.500000000000000000e+00,-6.843830044108115129e-03,2.899980545043944966e-02
5.666666666666666075e+00,4.905218499349833783e-02,1.600003242492676128e-02
5.833333333333333037e+00,1.019878355765145017e-01,1.600003242492676128e-02
6.000000000000000000e+00,1.506453143404316020e-01,1.400017738342284983e-02
6.166666666666666075e+00,1.938515517703960078e-01,2.399992942810058941e-02
6.333333333333333037e+00,2.306045978747773006e-01,2.400016784667969097e-02
6.500000000000000000e+00,2.600945844468363077e-01,1.200008392333984028e-02
6.666666666666666075e+00,2.817206834972836860e-01,1.600003242492676128e-02
6.833333333333333037e+00,2.951012700170332903e-01,1.800012588500976909e-02
7.000000000000000000e+00,3.000792439399462275e-01,1.900005340576171875e-02
7.166666666666666075e+00,2.967212808024706217e-01,2.899980545043944966e-02
7.333333333333333037e+00,2.853115031390102141e-01,1.500010490417479948e-02
7.500000000000000000e+00,2.663395680858824943e-01,2.899980545043944966e-02
7.666666666666666075e+00,2.404843005543710055e-01,3.100013732910155903e-02
7.833333333333333037e+00,2.085918913694607135e-01,2.400016784667969097e-02
8.000000000000000000e+00,1.716505637380847937e-01,1.700019836425780903e-02
8.166666666666666075e+00,1.307630714745416922e-01,1.999998092651366841e-02
8.333333333333332149e+00,8.711415352519735755e-02,1.999998092651366841e-02
8.500000000000000000e+00,4.193923908785333193e-02,2.499985694885253906e-02
8.666666666666666075e+00,-3.509584361001627951e-03,2.300000190734862934e-02
8.833333333333332149e+00,-4.799629372317518877e-02,5.099987983703613281e-02
9.000000000000000000e+00,-9.033330011441975671e-02,3.200006484985352256e-02
9.166666666666666075e+00,-1.294135269614765105e-01,2.499985694885253906e-02
9.333333333333332149e+00,-1.642349288858148959e-01,1.600003242492676128e-02
9.500000000000000000e+00,-1.939287936744893137e-01,1.500010490417479948e-02
9.666666666666666075e+00,-2.177781852695948039e-01,1.600003242492676128e-02
9.833333333333332149e+00,-2.352358244293339118e-01,3.100013732910155903e-02
1.000000000000000000e+01,-2.459356017246993875e-01,4.099988937377929688e-02
1.016666666666666607e+01,-2.496989957820573980e-01,4.299998283386229775e-02
1.033333333333333215e+01,-2.465372481601267873e-01,1.600003242492676128e-02
1.050000000000000000e+01,-2.366479777146852093e-01,1.699995994567871094e-02
1.066666666666666607e+01,-2.204077640787669989e-01,1.699995994567871094e-02
1.083333333333333215e+01,-1.983583833805082075e-01,2.499985694885253906e-02
1.100000000000000000e+01,-1.711902139706913129e-01,1.900005340576171875e-02
1.116666666666666607e+01,-1.397219642985118027e-01,2.999997138977051128e-02
1.133333333333333215e+01,-1.048762745505707056e-01,4.600000381469727256e-02
1.150000000000000000e+01,-6.765397008911983034e-02,4.600000381469727256e-02
1.166666666666666607e+01,-2.910573039055045982e-02,3.200006484985352256e-02
1.183333333333333215e+01,9.696534349606943798e-03,3.099989891052246094e-02
1.200000000000000000e+01,4.768926079652689720e-02,4.600000381469727256e-02
1.216666666666666607e+01,8.384538648332778843e-02,5.900001525878906250e-02
1.233333333333333215e+01,1.172016636237102061e-01,3.400015830993652344e-02
1.250000000000000000e+01,1.468839158129771061e-01,1.699995994567871094e-02
1.266666666666666607e+01,1.721292127708869968e-01,3.299999237060546875e-02
1.283333333333333215e+01,1.923053360263884126e-01,3.299999237060546875e-02
1.300000000000000000e+01,2.069260466242295038e-01,5.799984931945800781e-02
1.316666666666666607e+01,2.156621915950173995e-01,6.599998474121093750e-02
1.333333333333333215e+01,2.183472576654212072e-01,2.999997138977051128e-02
1.350000000000000000e+01,2.149890761619741020e-01,3.100013732910155903e-02
1.366666666666666607e+01,2.057485953648363064e-01,4.500007629394531250e-02
1.383333333333333215e+01,1.909525958409701019e-01,5.900001525878906250e-02
1.400000000000000000e+01,1.710734279828068083e-01,2.900004386901855122e-02
1.416666666666666607e+01,1.467165451102531992e-01,3.199982643127440712e-02
1.433333333333333215e+01,1.186021153316044047e-01,3.200006484985352256e-02
1.450000000000000000e+01,8.754463844268146888e-02,3.099989891052246094e-02
1.466666666666666607e+01,5.443022181097779272e-02,6.299996376037597656e-02
1.483333333333333215e+01,2.018983309540790111e-02,5.800008773803710938e-02
1.500000000000000000e+01,-1.422435807728322961e-02,4.699993133544921875e-02
1.516666666666666607e+01,-4.786633134348518281e-02,3.100013732910155903e-02
1.533333333333333215e+01,-7.982127585403724079e-02,6.100010871887207031e-02
1.550000000000000000e+01,-1.092306749038978037e-01,3.900003433227539062e-02
1.566666666666666607e+01,-1.353144763771028936e-01,3.099989891052246094e-02
1.583333333333333215e+01,-1.573919351754209939e-01,3.400015830993652344e-02
1.600000000000000000e+01,-1.748991191252542987e-01,2.899980545043944966e-02
1.616666666666666430e+01,-1.874028738318281873e-01,3.100013732910155903e-02
1.633333333333333215e+01,-1.946114155577945981e-01,7.899999618530273438e-02
1.650000000000000000e+01,-1.963807232874494879e-01,3.199982643127440712e-02
1.666666666666666430e+01,-1.927172094896884014e-01,3.100013732910155903e-02
1.683333333333333215e+01,-1.837756536941330954e-01,1.600003242492676128e-02
1.700000000000000000e+01,-1.698542555712982960e-01,4.600000381469727256e-02
1.716666666666666430e+01,-1.513844013656865106e-01,4.800009727478027344e-02
1.733333333333333215e+01,-1.289177651086050869e-01,3.100013732910155903e-02
1.750000000000000000e+01,-1.031103825556583947e-01,3.200006484985352256e-02
1.766666666666666430e+01,-7.470367640571082268e-02,3.200006484985352256e-02
1.783333333333333215e+01,-4.450311780312635190e-02,3.099989891052246094e-02
1.800000000000000000e+01,-1.335567546680800979e-02,7.800006866455078125e-02
1.816666666666666430e+01,1.787283993049912020e-02,4.699993133544921875e-02
1.833333333333333215e+01,4.832318249521983661e-02,4.099988937377929688e-02
1.850000000000000000e+01,7.716481302599811909e-02,5.800008773803710938e-02
1.866666666666666430e+01,1.036189266655443003e-01,6.299996376037597656e-02
1.883333333333333215e+01,1.269789172274873035e-01,3.200006484985352256e-02
1.900000000000000000e+01,1.466294667093613058e-01,4.699993133544921875e-02
1.916666666666666430e+01,1.620624745290502045e-01,4.700016975402832031e-02
1.933333333333333215e+01,1.728901312295448023e-01,4.699993133544921875e-02
1.950000000000000000e+01,1.788538767477647895e-01,7.400012016296386719e-02
1.966666666666666430e+01,1.798312542951633897e-01,4.799985885620117188e-02
1.983333333333333215e+01,1.758376336302970022e-01,4.700016975402832031e-02
2.000000000000000000e+01,1.670246432165373995e-01,6.299996376037597656e-02
2.016666666666666430e+01,1.536751344320753943e-01,4.700016975402832031e-02
2.033333333333333215e+01,1.361942108573019061e-01,3.199982643127440712e-02
2.050000000000000000e+01,1.150969489303518972e-01,4.699993133544921875e-02
2.066666666666666430e+01,9.099365631150871381e-02,4.700016975402832031e-02
2.083333333333333215e+01,6.457230710982395094e-02,9.899997711181640625e-02
2.100000000000000000e+01,3.657904845177180342e-02,4.900002479553222656e-02
2.116666666666666430e+01,7.797370242865475642e-03,4.699993133544921875e-02
2.133333333333333215e+01,-2.097384652594569063e-02,8.299994468688964844e-02
2.150000000000000000e+01,-4.894203324994798182e-02,5.699992179870604775e-02
2.166666666666666430e+01,-7.534323444608007070e-02,4.699993133544921875e-02
2.183333333333333215e+01,-9.946210302407432202e-02,4.700016975402832031e-02
2.200000000000000000e+01,-1.206514940985958934e-01,3.099989891052246094e-02
2.216666666666666430e+01,-1.383498950454684906e-01,7.599997520446777344e-02
